Code,Name
001,Unknown
002,African Grey
003,Amazon
004,Budgerigar
005,Chicken
006,Cockatiel
007,Cockatoo
008,Corella
009,Love Bird
010,Mynah
011,Parakeet
012,Parrot
013,Pigeon
014,Sulphur Crested Cockatoo
